corridor,subcorridor,direction_compass,start,end
Chestnut,23rd to Broad,EB,6067,6115
Chestnut,Broad to 2nd,EB,6059,20971
Walnut,2nd to Broad,WB,20974,130
Walnut,Broad to 23rd,WB,14079,131
Oregon,Broad to 3rd,EB,98,18136
Oregon,Broad to 3rd,WB,24352,103
Washington,25th to 12th,EB,25922,24680
Washington,25th to 12th,WB,24747,24767
Washington,11th to 4th,EB,25922,24680
Washington,11th to 4th,WB,24747,24767
19th,Vine to JFK,SB,2784,31348
19th,Fairmount to Spring Garden,SB,2751,2780
Market,19th to 15th,SB,31348,10266
